countryname,gdppc
Afghanistan,943.1787481
Albania,4751.821237
Algeria,10120.38855
American Samoa,
Andorra,36409.42988
Angola,3783.142848
Antigua and Barbuda,18685.21447
Argentina,9991.382124
Armenia,3382.284391
Aruba,31990.30903
Australia,29032.49096
Austria,31178.69333
Azerbaijan,4160.216167
"Bahamas, The",27433.32312
Bahrain,41164.2896
Bangladesh,1718.08388
Barbados,13228.43454
Belarus,6705.036472
Belgium,30282.28865
Belize,8121.815206
Benin,1858.889912
Bermuda,58142.25158
Bhutan,3627.209762
Bolivia,3514.824223
Bosnia and Herzegovina,4743.391536
Botswana,9479.194716
Brazil,9511.453991
British Virgin Islands,
Brunei Darussalam,70527.57584
Bulgaria,7937.483144
Burkina Faso,977.7332907
Burundi,559.1493795
Cabo Verde,3344.162052
Cambodia,1244.243388
Cameroon,2236.248842
Canada,30963.92189
Cayman Islands,
Central African Republic,701.3866103
Chad,909.5215471
Channel Islands,
Chile,10239.38529
China,3532.315658
Colombia,7086.090245
Comoros,1898.222963
"Congo, Dem. Rep.",426.2028633
"Congo, Rep.",3911.056531
Costa Rica,8364.364842999999
Cote d'Ivoire,3007.556506
Croatia,13022.61514
Cuba,
Curacao,23479.79733
Cyprus,24013.32227
Czechia,18252.57277
Denmark,30640.34562
Djibouti,
Dominica,6697.823846
Dominican Republic,7231.704067
Ecuador,6314.136006
"Egypt, Arab Rep.",5895.395887
El Salvador,4652.401392
Equatorial Guinea,14025.41959
Eritrea,1598.524338
Estonia,11663.2715
Eswatini,4943.720735
Ethiopia,513.1543118
Faroe Islands,
Fiji,6081.886606
Finland,28605.12232
France,28518.82522
French Polynesia,
Gabon,13403.39072
"Gambia, The",1759.121812
Georgia,3718.686933
Germany,29178.63747
Ghana,2471.645963
Gibraltar,
Greece,22615.93561
Greenland,30610.43063
Grenada,7632.855014
Guam,
Guatemala,5009.918372
Guinea,1330.130201
Guinea-Bissau,1098.314473
Guyana,6331.504749
Haiti,2233.988703
Honduras,2683.225043
"Hong Kong SAR, China",29609.76837
Hungary,14526.38826
Iceland,32607.10588
India,2275.592233
Indonesia,5121.673837
"Iran, Islamic Rep.",12163.22435
Iraq,9590.940848
Ireland,35222.02872
Isle of Man,
Israel,26044.74349
Italy,28736.57711
Jamaica,6857.907192
Japan,28623.58845
Jordan,6660.351398
Kazakhstan,10014.71414
Kenya,1931.522888
Kiribati,1601.548253
"Korea, Dem. People's Rep.",
"Korea, Rep.",21396.83775
Kosovo,
Kuwait,60081.01838
Kyrgyz Republic,1998.239482
Lao PDR,2021.422711
Latvia,10081.19186
Lebanon,8618.753556
Lesotho,1383.202432
Liberia,1024.231929
Libya,20443.21254
Liechtenstein,
Lithuania,10480.6961
Luxembourg,58575.67927
"Macao SAR, China",38656.74193
Madagascar,1143.101525
Malawi,938.8654344
Malaysia,13633.4382
Maldives,8809.691024
Mali,1282.205782
Malta,19980.11311
Marshall Islands,2671.789386
Mauritania,2228.235172
Mauritius,9819.99036
Mexico,11835.49293
"Micronesia, Fed. Sts.",2544.078231
Moldova,3632.610918
Monaco,
Mongolia,4008.758944
Montenegro,7238.049302
Morocco,4421.047852
Mozambique,588.213084
Myanmar,1197.414125
Namibia,5437.426279
Nauru,3590.897591
Nepal,1390.261592
Netherlands,34447.20532
New Caledonia,
New Zealand,23306.27954
Nicaragua,2887.050707
Niger,825.2936238999999
Nigeria,2757.635018
North Macedonia,6519.269311
Northern Mariana Islands,
Norway,38056.24043
Oman,41426.44407
Pakistan,2687.16716
Palau,11435.17967
Panama,8981.120412
Papua New Guinea,2136.715322
Paraguay,6891.197775
Peru,5373.452017
Philippines,3658.93215
Poland,11804.26626
Portugal,20356.6473
Puerto Rico,25467.36071
Qatar,92917.63866
Romania,7301.259787
Russian Federation,8037.474609
Rwanda,762.1915337
Samoa,3511.809375
San Marino,56599.77782
Sao Tome and Principe,1946.049601
Saudi Arabia,36242.07514
Senegal,2083.566901
Serbia,7364.746797
Seychelles,14569.62565
Sierra Leone,749.971599
Singapore,45083.25299
Sint Maarten (Dutch part),
Slovak Republic,13312.20331
Slovenia,20241.52568
Solomon Islands,1364.353128
Somalia,525.116006
South Africa,8858.379658
South Sudan,
Spain,24371.59885
Sri Lanka,4686.802054
St. Kitts and Nevis,16531.51472
St. Lucia,9196.195115
St. Martin (French part),
St. Vincent and the Grenadines,7243.810193
Sudan,3030.887695
Suriname,8060.125342
Sweden,30926.5056
Switzerland,38704.95846
Syrian Arab Republic,
Tajikistan,1255.014627
Tanzania,1293.737915
Thailand,8154.001521
Timor-Leste,1369.408824
Togo,1390.857099
Tonga,3886.282355
Trinidad and Tobago,15973.90684
Tunisia,6633.25804
Turkiye,9281.087739000001
Turkmenistan,4458.72784
Turks and Caicos Islands,
Tuvalu,2878.55593
Uganda,1254.38169
Ukraine,5173.303223
United Arab Emirates,94694.41712
United Kingdom,29089.05368
United States,37997.74243
Uruguay,9946.482721
Uzbekistan,2916.753376
Vanuatu,1933.50694
"Venezuela, RB",10969.39439
Viet Nam,2932.257427
Virgin Islands (U.S.),32113.43999
West Bank and Gaza,2178.845439
"Yemen, Rep.",2933.835613
Zambia,1861.480418
Zimbabwe,2120.467545
